id130,title,rank,province,alt,modern,description,country,batlas,awmc,dare,darmc,hanson,orbis,PECS,pleiades,topostext,TTPlace,trismegistos,vici,wikidata,wikipedia:en,start,latlon,lon,lat
16,Aelium Augustum,4,Raetia,"Aelia Augusta, Augusta Vindelicum",Augsburg,"Augusta Vindelicum/Aelia Augusta (modern Augsburg, Germany) was the capital of Raetia. The city was established in 15 BC by Drusus and Tiberius.",Germany,12 D4,142926,10,21576,1288,50056,augusta-vindelicum,118580,484109UAug,1000,19899,22884,765823,,-15,"48.365463,10.894765",10.894765,48.365463
17,Aquincum,4,Pannonia Inferior,,Budapest,"An ancient city of Pannonia, Aquincum is now located within Budapest, Hungary. The ancient site was first settled by the Eravisci and later served as a Roman castrum along the frontier.",Hungary,20 G2,154918,10898,13295,1267,50035,aquincum,197130,476190UAqu,1554,20126,1946,623345,Aquincum,106,"47.564075,19.049522",19.049522,47.564075
18,Arbela,4,,Arba-ilu,Erbil,An ancient Mesopotamian city located between the two Zab rivers (modern Erbel/Erbil in Iraq).,Iraq,89 G4,140087,21806,31436,,,,874341,362440UArb,,,19383,132754,Erbil,-5000,"36.1913174532,44.0093802856",44.0093802856,36.1913174532
19,Attalea,4,Lycia et Pamphylia,,Antalya,"Now the modern Antalya, Attalea was established in 150 B.C. on the coast of Pamphylia by Attalus II.",Türkiye,65 E4,155312,21502,21560,1103,50447,attaleia,638778,369307PAtt,2395,16422,2350,105703706,Antalya,-150,"36.887059,30.705676",30.705676,36.887059
20,Burdigala,4,Gallia Aquitania,,Bordeaux,"Burdigala (modern Bordeaux) was a Celtic center of the Bituriges Vivisci. The Romans lost a battle at the site in 107 BC, with consul Lucius Cassius Longinus being killed in the action. Rome eventually controlled the area ca. 60 BC.",France,14 E4,142852,147,21859,567,50088,burdigala,138248,448000UBur,697,22864,2902,1479,,-49,"44.837205,-0.576533",-0.576533,44.837205
21,Caesarea,4,Galatia et Cappadocia,"Mazaka, Eusebeia",Kayseri,"Mazaka/Eusebeia/Caesarea was the chief town of Cappadocia, modern Kayseri.",Türkiye,64 A3,149445,21242,34876,420,50025,caesarea-cappadociae,629035,387355UMaz,2283,11904,2303,48338,Kayseri,-323,"38.728033,35.484989",35.484989,38.728033
22,Caesarea Maritima,4,Iudaea,"Stratonos Pyrgos, Caesarea",Caesarea National Park,"An ancient place, cited: BAtlas 69 A4 Stratonos Pyrgos/Caesarea",Israel,69 A4,137027,21149,24910,1355,50094,caesarea-maritima,678401,325349UCae,442,,2483,319242,Caesarea_Maritima,-22,"32.5018359,34.8964316",34.8964316,32.5018359
23,Caralis,4,Corsica et Sardinia,,Cagliari,"A city with its origins in a Phoenician settlement of the seventh century BC, Caralis comes under Roman control in 238 BC during the Punic Wars. Florus refers to it as urbs urbinum, or capital of Sardinia",Italy,48 B3,157127,16177,30109,465,50486,caralis,471899,392091UKar,2935,,3490,1897,,-400,"39.214886,9.109522",9.109522,39.214886
24,Carnuntum,4,Pannonia Superior,Col. Carnuntum,Petronell,"A site first mentioned (A.D. 6) as a winter camp of Tiberius, Carnuntum eventually became a legionary base and the seat of the governor for Pannonia.",Austria,13 B4,162964,10720,22057,1277,50105,carnuntum,128384,,1545,16521,,19277173,,15,"48.116111,16.858333",16.858333,48.116111
25,Cemenelum,4,Alpes Maritimae,,Cimiez,An oppidum that was the capital of the Vediantian Ligures; later became a municipium of the tribus Claudia.,France,16 D2,148799,183,15643,227,,cemelenum,157834,437073UCem,847,19941,2755,2944184,,-25,"43.7194725,7.2758295",7.2758295,43.7194725
26,Chabala,4,,,Qabala,Chabala was the ancient capital of the Caucasian Albania from as early as the fourth century BC.,Azerbaijan,88 F4,160169,25224,32149,,,,863768,,,,32022,,,-330,"40.981389,47.845832",47.845832,40.981389
27,Charax Spasinou,4,,"Jebel Khayabir, Alexandria?, Antiochia?, Karkh Maisan?, [Astarabad Ardashir]?",Jebel Khayabir,"Close to Ǧabal Ḫayabir in Iraq, this site was an important mercantile center of southern Mesopotamia and capital of Characene. The ancient site is located close to Ǧabal Ḫayabir.",Iraq,93 D3,165479,22654,24844,,,antioch-1,912872,309476UCha,2717,,10947,1063054,Charax_Spasinu,-330,"30.719479,47.561886",47.561886,30.719479
28,Claudia Ara Agrippinensium,4,Germania Inferior,"Ara Ubiorum, Col. Claudia Ara Agrippinensium",Cologne,"Ara Ubiorum/Col. Claudia Ara Agrippinensium (Cologne, Germany) was a key site of the Germanic Ubii that became a Roman colony in the first century AD. The city served as the capital of Germania Inferior.",Germany,11 G2,163446,299,21453,660,50012,colonia-agrippinensis,108751,509070UCol,575,3258,104,623600,,-38,"50.940662,6.9599065",6.9599065,50.940662
29,Ctesiphon,4,,,Salman-pak,"An imperial capital of the Arsacid and Sassanid empire, this large ancient city originated at least as early as the third century BCE and declined in the eighth century of the modern era.",Iraq,91 F4,142907,21868,32463,,,,893976,331446UKte,2695,,10967,192541,Al-Mada'in,-540,"33.094703,44.5812226667",44.5812226667,33.094703
30,Durocortorum,4,Gallia Belgica,,Reims,"The capital of the Remi in Gallia Belgica, now Reims.",France,11 E3,143313,52,22283,590,50157,durocortorum,108945,493040UDur,609,3275,2561,2166297,,-27,"49.2539525,4.0332025",4.0332025,49.2539525
31,Edessa,4,,Antiochia ad Callirhoem,Şanlıurfa,"Edessa/Antiochia ad Callirhoem was an ancient settlement of upper Mesopotamia, refounded by Seleucus I Nikator.",Türkiye,67 H2,141832,21816,34915,,50161,antioch-by-the-callirhoe,658457,371388UEde,2634,11275,2417,1190403,Şanlıurfa,-26000,"37.148633,38.786696",38.786696,37.148633
32,Emerita Augusta,4,Lusitania,,Mérida,"An ancient settlement (modern Mérida, Spain).",Spain,26 D3,157128,14305,30252,1077,50163,augusta-emerita,256155,389000UAug,,,3600,1583842,,-25,"38.9160965,-6.34010066667",-6.34010066667,38.9160965
33,Gazaca,4,,"Ganzak?, Gazaca?, Gazae?",Leylan ,"An ancient place, cited: BAtlas 90 B3 Ganzak?/Gazaca?/Gazae?",Iran,90 B3,138813,25263,32128,,,,884148,,,,,2607082,,-30,"37.012264,46.201883",46.201883,37.012264
34,Gortyna,4,Creta et Cyrenaica,Gortyn(a),Kainourgiou,"The Roman capital of Creta et Cyrenaica province, then Creta, and later seat of the Archbishop of Crete, Gortyna was a thriving community from the Geometric period to the Middle Byzantine period.",Greece,60 C2,156934,22912,34047,482,,gortyn,589796,351249UGor,2070,719,2225,692775,Creta_et_Cyrenaica,-323,"35.062107,24.946943",24.946943,35.062107
35,Hatra,4,,,al-Hadr,"Hatra (al-Hadr) is an ancient city of western Assyria. Founded perhaps in the third century BC, the city rose to prominence in the Parthian empire.",Iraq,91 D2,154814,21807,32391,,,hatra,894004,356427UHat,2659,,2422,466614,Hatra,-30,"35.587884,42.718342",42.718342,35.587884
36,Iol Caesarea,4,Mauretania Caesariensis,,Cherchell,"Iol Caesarea (modern Cherchell, Algeria) is a seaport with Punic and Roman phases.",Algeria,30 D3,150960,21630,22877,1176,50206,iol,295279,366022UIol,,,3931,1309531,Cherchell,-25,"36.607058,2.1918495",2.1918495,36.607058
37,Istakhr,4,,"(I)Stakhr, Estakhr",,"An ancient Sasanian royal residence, located close to Persepolis.",Iran,94 C4,145335,22311,,,,,922662,,,,18232,862251,Estakhr,-30,"29.980833,52.909444",52.909444,29.980833
38,Londinium,4,Britannia,Augusta,London,Roman London was established ca. A.D. 43.,United Kingdom,8 G3,160824,1888,30441,399,50235,londinium,79574,515000ULon,,11298,1484,60308,Roman_London,60,"51.513335,-0.088949",-0.088949,51.513335
39,Meschistha,4,,,Mtskheta,Meschistha (modern Mtskheta (Georgian: მცხეთა)) is an ancient city in Georgia and was the capital of the Hellenistic kingdom of Iberia. Meschistha became a UNESCO World Heritage Site in 1994.,Georgia,88 C3,156445,21800,32169,,,,863840,,,,,180810,Mtskheta,-330,"41.839298,44.706",44.706,41.839298
40,Mogontiacum,4,Germania Superior,,Mainz,The original Roman settlement at Mogontiacum (modern Mainz) was established by Drusus ca. 13/12 BC. The settlement became an important military center throughout Roman times and was the base of operations for numerous Roman legions.,Germany,11 I2,150841,3,14986,673,50257,mogontiacum,109169,500083UMog,878,3285,2782,1720,Mainz,1,"49.998912,8.273869",8.273869,49.998912
41,Narbo Martius,4,Gallia Narbonensis,Col. Narbo Martius,Narbonne,Col. Narbo Martius (modern Narbonne) was established in Gaul in 118 B.C. as a Roman colony.,France,25 H2,163134,156,22061,651,50264,narbo,246347,432030UNar,766,20422,2692,6555,,-45,"43.1836165,3.004203",3.004203,43.1836165
42,Neapaphus,4,Cyprus,(Nea) Paphos,Kato Paphos,"The legendary birthplace of the goddess Aphrodite, (Nea) Paphos has been a center of activity since the Final Bronze Age when Mycenaeans honored the goddess there. The site was listed on the UNESCO World Heritage List in 1980.",Cyprus,72 A3,159639,22716,15443,453,50452,paphos-1,707586,348324PPap,2421,1600,2358,12065255,,-400,"34.757212,32.406593",32.406593,34.757212
43,Nicomedia,4,Bithynia et Pontus,,Ismit,Nicomedia was founded in 712/11 BC as a Megarian colony named Astacus and was rebuilt by Nicomedes I of Bithynia in 264 BC. The city was an important administrative center of the Roman Empire.,Türkiye,52 F3,157129,21204,33979,379,50272,nicomedia,511337,408299PNik,2110,6006,2247,209349,Nicomedia,-264,"40.7651905,29.919887",29.919887,40.7651905
44,Nicopolis,4,Epirus,,Palioprevesa,An ancient city of Epirus founded by Octavian ca. 31 B.C. to commemorate his victory over Marcus Antonius and Cleopatra at the Battle of Actium.,Greece,54 C3,140537,21991,34834,65,50273,nikopolis-1,531013,390207PNic,1857,1468,2111,943637,Nicopolis,-30,"39.0157,20.7360035",20.7360035,39.0157
45,Nova Traiana Bostra,4,Arabia Petraea,"Bostra, Col. Nova Traiana Alexandriana",Bosra,"The ancient city of Bostra (modern Busra in Syria), where extensive ancient Nabataean, Roman, Byzantine and Umayyad structures still visible. Inscribed as a UNESCO World Heritage Site in 1980.",Syria,69 D4,140606,21117,28258,231,50080,Bostra,678073,325365UBos,477,2987,2500,287023,Bosra,106,"32.517831,36.48369",36.48369,32.517831
46,Octodurus,4,Alpes Graiae et Poeninae,Forum Claudii Vallensium,Martigny,Octodurus/Forum Claudii Vallensium (modern Martigny).,Switzerland,17 I1,146419,27,16816,226,,octodurus,167859,461071UOct,953,22478,2849,3008539,,-15,"46.100848,7.073918",7.073918,46.100848
47,Panticapaeum,4,,"Pantikapaion, Bosp(h)orus",Kerch,"The main city and port of the Kimmerian Bosporus, founded by Miletus in the late seventh or early sixth centuries B.C. Modern Kerch.",Russia,87 K2,134255,22010,15441,,50646,pantikapaion,854719,454365PPan,,30272,20836,906661,Panticapaeum,-550,"45.350983375,36.4685796815",36.4685796815,45.350983375
48,Perinthus,4,Thracia,Heraclea,Ereğli,"An ancient place, cited: BAtlas 52 B3 Perinthus/Heraclea",Türkiye,52 B3,150874,21399,34115,1381,50301,,511357,410280UPer,1976,,2182,985638,Marmara_Ereğlisi,-602,"40.971013,27.952973",27.952973,40.971013
49,Salona,4,Dalmatia,,Solin,A coastal city of Dalmatia.,Bosnia and Herzegovina,20 D6,161168,10939,14839,547,50336,salona,197488,435165USal,1681,7043,2037,1258998,Salona,-78,"43.539561,16.483426",16.483426,43.539561
50,Segusium,4,Alpes Cottiae,Segusio,Susa,"An ancient place, cited: BAtlas 17 I3 Segusio",Italy,17 I3,137017,1868,12284,224,50348,segusium,167919,451070USeg,828,,2740,10311,,-100,"45.138348,7.048364",7.048364,45.138348
51,Susa,4,,Seleucia ad Eulaeum,Shush,"An ancient city of the Elamite, Persian, and Parthian empires of Iran. Located at modern Shush, Susa was inscribed on the UNESCO World Heritage List in 2015.",Iran,93 E1,167160,22221,31498,,,seleucia-1,912936,322482PSus,,,11393,180773,Susa,-6200,"32.1887935,48.2537285",48.2537285,32.1887935
52,Syracusae,4,Sicilia,Syrakousai,Syracuse,An important ancient city on the island of Sicily.,Italy,47 G4,139731,16570,29711,1320,50455,syracuse,462503,371153PSyr,1511,,1913,13670,,-733,"37.0687655418,15.284171651",15.284171651,37.0687655418
53,Tarsus,4,Cilicia,Antiochia ad Cydnum,Tarsus,An important city and river port on the Cydnus river located in Cilicia Pedias.,Türkiye,66 F3,150823,21245,16272,463,50380,tarsus,648789,369349UTar,2327,2269,2316,134287,"Tarsus,_Mersin",-600,"36.914956,34.898228",34.898228,36.914956
54,Tingis,4,Mauretania Tingitana,Tingi,Tangier,Tingi (modern Tangier) began as a Carthaginian colony of the early 5th century BC.,Morocco,28 C2,150819,21774,25187,1202,50396,Tingi,275736,358000UTin,,15623,3922,126148,Tingis,-100,"35.787546,-5.8102335",-5.8102335,35.787546
55,Tomis,4,Moesia Inferior,,Constanta,Tomis was founded as a Greek colony on the Black Sea coast ca. 600 B.C.,Romania,22 F4,137026,21389,34141,1214,50399,tomis,217016,442287PTom,1957,11900,2171,79808,Constanța,-600,"44.1728565,28.6497375",28.6497375,44.1728565
56,Ulpia Traiana Sarmizegetusa,4,Dacia,,Hunedoara,The Roman capital of Dacia established by Trajan and located some 40 km from the indigenous center of Sarmizegetusa Regia (cited: BAtlas 21 E4 Ulpia Traiana Sarmizegetusa),Romania,21 E4,146717,19910,,500,50341,ulpia-traiana,207527,455228USUT,1740,30060,11775,2671791,Ulpia_Traiana_Sarmizegetusa,108,"45.5147445,22.7852665",22.7852665,45.5147445
57,Vagharshapat,4,,Kainepolis,,"Major city of Armenia. Inhabited since the Neolithic Period, the city was capital of the Arsacid Kingdom of Armenia from 120-330 CE, and became a major religious center with the construction of Etchmiadzin Cathedral in the early 4th century.",Armenia,88 C4,165833,25226,32162,,,,863815,,,,,183394,Vagharshapat,-330,"40.176099,44.292264",44.292264,40.176099
58,Viminacium,4,Moesia Superior,,Kostolac,"An ancient city and Roman legionary base along the Danube, near modern Kostolac (Костолац, Caştelu) in Serbia.",Serbia,21 D5,138741,10877,34237,1227,50419,viminacium,207549,447212UVim,1717,,36543,1231824,Viminacium,60,"44.7266235,21.1913635",21.1913635,44.7266235
59,Virunum,4,Noricum,,Zollfeld,"A Roman city, founded by Claudius, that was the capital of Noricum.",Austria,20 B3,154919,10710,25417,1237,50423,virunum,197583,467144UVir,1571,19906,1959,701582,,41,"46.6996149,14.3647773",14.3647773,46.6996149
60,Aegina,5,Achaia,Aigina ,Aigina,"An ancient place, cited: BAtlas 59 A3 Aigina",Greece,59 A3,164527,21936,10062,4,,aigina,579853,378234PAig,,,28364,191082,Aegina,-600,"37.7500745,23.4285005",23.4285005,37.7500745
61,Amphipolis,5,Macedonia,,Amfipoli,"A Greek city in Thrace located on the east bank of the Strymon river, Amphipolis was originally founded as an Athenian colony.",Greece,51 B3,146979,21889,34024,1147,50718,amphipolis,501347,408238PAmp,2039,161,2211,217414,Amphipolis,-437,"40.8258114808,23.8415794323",23.8415794323,40.8258114808
62,Anagnia,5,Italia,,Anagni,Anagnia was a Hernican town that sided with Rome against the Volscians and later became civitas sine suffragio.,Italy,43 E3,142921,16772,28188,744,,anagnia,422833,417132UAna,1322,,1779,116404,,-400,"41.742213,13.158962",13.158962,41.742213
63,Anazarbus,5,Cilicia,"Anazarbos, Caesarea, Ioustin(ian)oupolis",Anavarza,Anazarbos or Anazarbus was an ancient city of Cilicia; its extensive multi-period archaeological remains are located adjacent to the modern village of Dilekkaya in the Kozan district of Turkey's Adana province.,Türkiye,67 B2,159174,21496,17575,429,,anazarbos,658378,372359UAna,2331,11859,2319,219525,Anazarbus,-323,"37.256021,35.898447",35.898447,37.256021
64,Ancona,5,Italia,Ancon(a),Ancona,A port city founded by colonists from Syracuse in 387 BC.,Italy,42 F1,146985,1454,29965,905,50022,ancona,413014,436135PAnc,1161,3362,1663,3415,,-387,"43.6189926667,13.5160726667",13.5160726667,43.6189926667
65,Ancyra,5,Galatia et Cappadocia,,Ankara,An ancient settlement and later fortified settlement that served as the seat of the koinon of Galatia and capital of the subsequent Roman province. Modern Ankara in Turkey.,Türkiye,63 B1,148800,21220,13127,411,50023,ancyra,619103,392289UAnk,2139,8290,2256,107585355,Ankara,-25,"39.9437925,32.859333",32.859333,39.9437925
66,Antium,5,Italia,,Anzio,Antium ranked as one of the most important and most powerful centers of Latium and was captured by Rome at the close of the Latin War in the fourth century B.C. Imperial Antium was well known for its number of coastal villas.,Italy,43 C4,137320,16711,16943,745,,antium,422837,415126UAnt,1430,,1847,241717,,-500,"41.44795,12.628995",12.628995,41.44795
67,Apamea,5,Syria,Pella,Qalaat al Mudik,Pella/Apamea in Syria was an ancient city established by the Seleucids ca. 300 B.C.,Syria,68 B3,146982,21507,15474,1325,50026,apamea,668335,354364PApa,511,,2928,617550,"Apamea,_Syria",-305,"35.422241,36.402509",36.402509,35.422241
68,Apamea,5,Asia,"Kelainai, Kibotos",Dinar,Apamea/Kelainai/Kibotos (modern Dinar) was an ancient settlement of Phrygia located at a road junction linking Ionia to the east. In 333 BC Alexander the Great installed his general Antigonos as satrap of Phrygia.,Türkiye,65 D1,141303,21281,13143,264,50027,kelainai,638751,381302PApa,2346,3432,2324,617518,Apamea_(Phrygia),-324,"38.068301025,30.169066275",30.169066275,38.068301025
69,Apollonia,5,Macedonia,,Pojani,"An ancient place, cited: BAtlas 49 B3 Apollonia",Albania,49 B3,139773,21415,34908,1148,50535,apollonia-1,481728,407195PApo,1852,3603,2109,505703,Apollonia_(Illyria),-588,"40.7339195,19.462878",19.462878,40.7339195
70,Apulum,5,Dacia,,Weissenburg,Apulum (modern Alba Iulia) was an important Roman castrum in Dacia and the base of Legio XIII Gemina.,Romania,21 F3,157130,21776,34036,492,50030,apulum,206927,461236UApu,1745,29979,12897,174665,Alba_Iulia,107,"46.066695,23.572315",23.572315,46.066695
71,Aquileia,5,Italia,,Aquileia,"An ancient Roman city initially founded ca. 181/180 B.C., Aquileia is especially important in Late Antiquity and the Middle Ages.",Italy,19 F4,161216,1468,13294,1045,50034,aquileia,187290,458134UAqu,1125,,1640,53216,,-181,"45.768945,13.3677735",13.3677735,45.768945
72,Aquinum,5,Italia,,Aquino,Aquinum was a municipium by the time of Cicero. It was thought to be the place of birth for the satirist Juvenal and the emperor Pescennius Niger.,Italy,44 E3,161977,16770,28201,747,,aquinum,432695,415137UAqu,1326,,1781,116415,,-400,"41.492208,13.705626",13.705626,41.492208
73,Arae Flaviae,5,Germania Superior,,Rottweil,Arae Flaviae (Rottweil) was founded as a Roman municipium in A.D. 73. by Cn. Pinarius Clemens.,Germany,12 B4,152357,1529,13298,666,,arae-flaviae,118572,,973,14178,2865,624910,,73,"48.166687,8.627925",8.627925,48.166687
74,Arelate,5,Gallia Narbonensis,"Theline, Col. Arelate, Constantina",Arles,An ancient settlement located at modern Arles in France.,France,15 D2,138660,173,15675,634,50040,arelate,148217,437046UAre,784,3339,2707,641068,,-400,"43.677616,4.630799",4.630799,43.677616
75,Argos,5,Achaia,,Argos,Argos was a city of ancient Greece that reached its cultural highpoint under Pheidon in the seventh century BC.,Greece,58 D2,150961,21779,34039,13,,argos,570106,376227PArg,1898,,2939,189901,Argos,-900,"37.631561,22.719464",22.719464,37.631561
76,Arretium,5,Italia,,Arezzo,"Arretium (the Etruscan Aritim) was one of the duodecim populi Etruriae and described by Livy as one of the ""Capitae Etruriae"". The Romans captured the city in 311 B.C. and it became a station on the via Cassia.",Italy,42 B2,138907,5064,28212,962,50043,arretium,413032,435119UArr,1096,,1621,13378,,-400,"43.471274,11.863048",11.863048,43.471274
77,Arsamosata,5,,,,"An ancient place, cited: BAtlas 89 B2 Arsamosata",Türkiye,89 B2,158700,21237,32943,,,,874354,,,,,646120,Arsamosata,-330,"38.6608665,39.5109175",39.5109175,38.6608665
78,Artaxata,5,,,Artashat,"An ancient city located on and around the hills known today as Khor Virap. This location is near the Armenian village of Lusarat, which is about 8 km south of modern Artashat.",Armenia,89 G1,157036,21801,29986,,,,874361,399446UArt,2464,,37377,706215,,-330,"39.8818755331,44.5751884575",44.5751884575,39.8818755331
79,Ascalon,5,Iudaea,Ashqelon,Ashkelon,"Ashqelon/Ascalon was an ancient city in coastal Palestine, located midway between Azotus and Gaza. It became independent in 104 B.C. and remained the only free city in Palestine. Strabo refers to it, while Pliny calls it a free city (oppidum libera).",Israel,70 F2,149568,21670,16296,1353,50046,ascalon,687839,317345UAsh,434,,2476,60956,,-323,"31.6659785,34.545947",34.545947,31.6659785
80,Asculum,5,Italia,,Ascoli Piceno,Asculum (modern Ascoli Piceno) was the principal city of the Piceni.,Italy,42 F3,143308,16800,28217,906,50047,asculum-picenum,413036,429136UAsc,1177,,1677,6624,,-400,"42.855397,13.574951",13.574951,42.855397
81,Astigi,5,Hispania Baetica,Col. Augusta Firma,Ecija,"Now the modern Ecija on the Genil river, Astigi was the capital of one of the four conventus of Baetica and became an Augustan colony after 27 B.C.",Spain,26 E4,157225,16845,29998,326,,,255996,375000UAst,,,3673,273413,,-45,"37.540932,-5.079949",-5.079949,37.540932
82,Asturica Augusta,5,Hispania Tarraconensis,Asturica (Augusta),Astorga,Asturica (Augusta) was the capital of the Conventus Asturum. An Augustan colony was established in 14 B.C.,Spain,24 E2,134324,13698,30000,684,50048,,236352,425000UAst,,,3549,511481,"Astorga,_Spain",-27,"42.458776,-6.063532",-6.063532,42.458776
83,Augusta Treverorum,5,Gallia Belgica,Col. Augusta Treverorum,Trier,The chief ancient city (civitas) of the Treveri. Modern Trier in Germany.,Germany,11 G3,148759,2,22055,587,50124,augusta-treverorum,108894,498066UCol,897,13685,2799,666165,,-27,"49.7523211725,6.64163827339",6.64163827339,49.7523211725
84,Avaricum,5,Gallia Aquitania,Biturigae,Bourges,"Avaricum/Biturigae, located at the confluence of Auron and Yèvre river, served as the capital of the Bituriges Cubi.",France,14 H1,157189,119,21593,566,50061,avaricum,138207,471024UAva,677,3276,2621,132404,,-27,"47.082535,2.3978655",2.3978655,47.082535
85,Babylon,5,,,Hillah,The ancient city of Babylon began as an Akkadian city-state founded by Amorites in 1894 B.C. The city was also the seat of the Neo-Babylonian Empire from 608 to 539 B.C.,Iraq,91 F5,167214,22328,32460,,,,893951,325444UBab,2702,,2432,5684,Babylon,-2000,"32.53729695,44.42497815",44.42497815,32.53729695
86,Barcino,5,Hispania Tarraconensis,Col. Barcino,Barcelona,Colonia Iulia Augusta Paterna Faventia Barcino (Barcelona) was a Roman settlement in Tarraconensis founded by Augustus.,Spain,25 H4,136481,6534,30178,687,50065,barcino,246343,414022UCol,,26261,3537,17587742,Temple_of_Augustus_in_Barcelona,-27,"41.387911,2.169911",2.169911,41.387911
87,Beneventum,5,Italia,Maleventum,Benevento,Beneventum/Maleventum (modern Benevento) was an ancient city of Campania of Samnite origin.,Italy,44 G3,148738,1482,16981,821,50069,beneventum,432721,411148PBen,1342,,1791,13437,Benevento,-400,"41.130437,14.781161",14.781161,41.130437
